problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
ID007_M020_J020; manne; 20; 20; True; 1408.8448889279407; 1623.0; 0.1319501608576994; 8000; 4201; 2236; 52249359; 23600; time limit exceeded; 3600.015482902527; True;  
ID007_M020_J020; minla_fav; 20; 20; True; 1252.0; 16018.0; 0.9218379323261273; 160780; 72601; 23200; 532601; 754360; time limit exceeded; 3600.0914299488068; True;  
ID007_M020_J020; manne; 20; 20; False; nan; 1221.0; nan; 8000; 4201; 2428; 2427; 23600; optimal; 0.059838056564331055; False;  
ID007_M020_J020; minla_fav; 20; 20; False; nan; 1246.3380792463188; nan; 160780; 72601; 37121; 349169; 754360; optimal; 676.245598077774; False;  
ID008_M020_J020; manne; 20; 20; True; 1398.0844055219477; 1668.9999999999993; 0.162322105738787; 8000; 4201; 2250; 57772987; 23600; time limit exceeded; 3600.014522790909; True;  
ID008_M020_J020; minla_fav; 20; 20; True; 1302.9999999999993; 17293.0; 0.924651593130163; 160780; 72601; 23200; 532588; 754360; time limit exceeded; 3600.0995938777924; True;  
ID008_M020_J020; manne; 20; 20; False; nan; 1227.0; nan; 8000; 4201; 2432; 2431; 23600; optimal; 0.06128692626953125; False;  
ID008_M020_J020; minla_fav; 20; 20; False; nan; 1253.4737473469347; nan; 160780; 72601; 33339; 183605; 754360; optimal; 270.1339159011841; False;  
ID009_M020_J020; manne; 20; 20; True; 1377.2029430492998; 1644.9999999999998; 0.16279456349585633; 8000; 4201; 2212; 61574577; 23600; time limit exceeded; 3600.0146219730377; True;  
ID009_M020_J020; minla_fav; 20; 20; True; 1280.7807113916144; 15626.0; 0.9180352802129971; 160780; 72601; 27000; 616122; 754360; time limit exceeded; 3600.0939939022064; True;  
ID009_M020_J020; manne; 20; 20; False; nan; 1212.0; nan; 8000; 4201; 2435; 2434; 23600; optimal; 0.06232404708862305; False;  
